DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,O3,O3_OK,REGION
2019-05-19 12:00,2019-05-19,12:00,Victoria Topaz,VICTORIA TOPAZ,18,17.8,01 - Vancouver Island
2019-05-20 12:00,2019-05-20,12:00,Victoria Topaz,VICTORIA TOPAZ,35,35,01 - Vancouver Island
2019-05-21 12:00,2019-05-21,12:00,Victoria Topaz,VICTORIA TOPAZ,33,32.9,01 - Vancouver Island
2019-05-22 12:00,2019-05-22,12:00,Victoria Topaz,VICTORIA TOPAZ,23,22.3,01 - Vancouver Island
2019-05-23 12:00,2019-05-23,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.1,01 - Vancouver Island
2019-05-24 12:00,2019-05-24,12:00,Victoria Topaz,VICTORIA TOPAZ,34,33.8,01 - Vancouver Island
2019-05-25 12:00,2019-05-25,12:00,Victoria Topaz,VICTORIA TOPAZ,14,13.9,01 - Vancouver Island
2019-05-26 12:00,2019-05-26,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.5,01 - Vancouver Island
2019-05-27 12:00,2019-05-27,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.4,01 - Vancouver Island
2019-05-28 12:00,2019-05-28,12:00,Victoria Topaz,VICTORIA TOPAZ,30,29.3,01 - Vancouver Island
2019-05-29 12:00,2019-05-29,12:00,Victoria Topaz,VICTORIA TOPAZ,23,22.4,01 - Vancouver Island
2019-05-30 12:00,2019-05-30,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.7,01 - Vancouver Island
2019-05-31 12:00,2019-05-31,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.8,01 - Vancouver Island
2019-06-01 12:00,2019-06-01,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.5,01 - Vancouver Island
2019-06-02 12:00,2019-06-02,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.9,01 - Vancouver Island
2019-06-03 12:00,2019-06-03,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.7,01 - Vancouver Island
2019-06-04 12:00,2019-06-04,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.4,01 - Vancouver Island
2019-06-05 12:00,2019-06-05,12:00,Victoria Topaz,VICTORIA TOPAZ,28,27.5,01 - Vancouver Island
2019-06-06 12:00,2019-06-06,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.7,01 - Vancouver Island
2019-06-07 12:00,2019-06-07,12:00,Victoria Topaz,VICTORIA TOPAZ,28,27.4,01 - Vancouver Island
2019-06-08 12:00,2019-06-08,12:00,Victoria Topaz,VICTORIA TOPAZ,30,29.1,01 - Vancouver Island
2019-06-09 12:00,2019-06-09,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.1,01 - Vancouver Island
2019-06-10 12:00,2019-06-10,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-06-11 12:00,2019-06-11,12:00,Victoria Topaz,VICTORIA TOPAZ,32,31.5,01 - Vancouver Island
2019-06-12 12:00,2019-06-12,12:00,Victoria Topaz,VICTORIA TOPAZ,38,37.1,01 - Vancouver Island
2019-06-13 12:00,2019-06-13,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.2,01 - Vancouver Island
2019-06-14 12:00,2019-06-14,12:00,Victoria Topaz,VICTORIA TOPAZ,10,9.9,01 - Vancouver Island
2019-06-15 12:00,2019-06-15,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.7,01 - Vancouver Island
2019-06-16 12:00,2019-06-16,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.3,01 - Vancouver Island
2019-06-17 12:00,2019-06-17,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.8,01 - Vancouver Island
2019-06-18 12:00,2019-06-18,12:00,Victoria Topaz,VICTORIA TOPAZ,22,21.7,01 - Vancouver Island
2019-06-19 12:00,2019-06-19,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.7,01 - Vancouver Island
2019-06-20 12:00,2019-06-20,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.1,01 - Vancouver Island
2019-06-21 12:00,2019-06-21,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.1,01 - Vancouver Island
2019-06-22 12:00,2019-06-22,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.4,01 - Vancouver Island
2019-06-23 12:00,2019-06-23,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.3,01 - Vancouver Island
2019-06-24 12:00,2019-06-24,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.1,01 - Vancouver Island
2019-06-25 12:00,2019-06-25,12:00,Victoria Topaz,VICTORIA TOPAZ,34,33.9,01 - Vancouver Island
2019-06-26 12:00,2019-06-26,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.2,01 - Vancouver Island
2019-06-27 12:00,2019-06-27,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.9,01 - Vancouver Island
2019-06-28 12:00,2019-06-28,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.4,01 - Vancouver Island
2019-06-29 12:00,2019-06-29,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.9,01 - Vancouver Island
2019-06-30 12:00,2019-06-30,12:00,Victoria Topaz,VICTORIA TOPAZ,13,12.1,01 - Vancouver Island
2019-07-01 12:00,2019-07-01,12:00,Victoria Topaz,VICTORIA TOPAZ,23,22.7,01 - Vancouver Island
2019-07-02 12:00,2019-07-02,12:00,Victoria Topaz,VICTORIA TOPAZ,17,17,01 - Vancouver Island
2019-07-03 12:00,2019-07-03,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
